NUMTRACKS 10000
-1.07 -1.3736 -42.774
-1.1217 -1.4343 -37.461
-1.1735 -1.495 -32.147
-1.2277 -1.5485 -24.892
-1.2828 -1.5997 -17.021
-1.3378 -1.6497 -9.0129
-1.391 -1.6801 1.1127
-1.4442 -1.7106 11.238
-1.4951 -1.7315 21.828
-1.5419 -1.7357 33.236
-1.583 -1.7242 44.79
-1.6206 -1.7032 56.432
-1.6472 -1.6586 67.571
-1.6701 -1.6073 78.431
-1.6803 -1.5351 88.125
-1.6836 -1.4545 96.908
-1.6772 -1.3624 104.44
-1.6593 -1.2625 110.13
-1.636 -1.159 114.99
-1.5978 -1.0531 117.13
-1.5561 -0.94814 118.54
-1.5044 -0.8472 117.81
-1.4482 -0.75197 115.96
-1.3873 -0.66292 112.89
-1.3228 -0.58476 108.59
-1.2567 -0.51199 103.68
-1.1898 -0.45444 97.665
-1.1228 -0.40018 91.434
-1.058 -0.36188 84.529
-0.99428 -0.32665 77.566
-0.93396 -0.30152 70.413
-0.87733 -0.28339 63.211
-0.82322 -0.26963 55.993
-0.7745 -0.26323 48.836
-0.72952 -0.26063 41.77
-0.68748 -0.26097 34.776
-0.65222 -0.26657 28.004
-0.61906 -0.27347 21.313
-0.59079 -0.28344 14.813
-0.56636 -0.29539 8.4847
-0.54468 -0.30877 2.2803
-0.52828 -0.32454 -3.6565
-0.51354 -0.34107 -9.5031
-0.50369 -0.3598 -15.068
-0.49562 -0.37937 -20.518
-0.49122 -0.40064 -25.732
-0.48941 -0.42325 -30.758
-0.49009 -0.44717 -35.602
-0.49404 -0.47313 -40.174
-0.49945 -0.50002 -44.624
-0.50876 -0.52992 -48.699
-0.51889 -0.56047 -52.693
-0.53327 -0.59472 -56.237
-0.54873 -0.63002 -59.655
-0.5677 -0.66872 -62.661
-0.58861 -0.70951 -65.408
-0.61226 -0.75323 -67.792
-0.63917 -0.80064 -69.682
-0.66827 -0.85053 -71.241
-0.69966 -0.90302 -72.407
-0.73529 -0.96029 -72.848
-0.77163 -1.0183 -73.143
-0.81414 -1.0828 -72.188
-0.85665 -1.1473 -71.233
-0.90514 -1.2168 -68.795
-0.95462 -1.2871 -66.11
-1.0081 -1.3593 -62.158
-1.0641 -1.4328 -57.398
-1.1221 -1.5053 -51.753
-1.1837 -1.5761 -44.507
-1.2455 -1.6458 -36.991
-1.31 -1.7056 -27.097
-1.3745 -1.7653 -17.203
-1.4376 -1.8064 -5.2842
-1.5004 -1.8442 7
-1.5596 -1.865 20.191
-1.6163 -1.8741 34.006
-1.6637 -1.8548 48.244
-1.7065 -1.824 62.357
-1.7396 -1.7703 76.117
-1.7615 -1.6963 88.896
-1.7775 -1.6113 101.14
